time,chla,fe,NO3,PO4,sea_surface_temperature_anomaly,silicate,O2,Salinity,uo,vo,wo,spC02,ph,chla_log,month,doy,month_sin,month_cos,doy_sin,doy_cos,kd(light)
15-11-2023,0.33952922,0.001765782,28.127596,0.000853935,0.35593224,66.02396,216.79845,23.269981,0.06648849,0.5066118,-1.71E-06,29.223454,8.155941963,0.292318224,11,319,-0.5,0.866025404,-0.711656622,0.702527474,0.046792276
16-11-2023,0.29421845,0.001573881,21.586666,0.001641164,0.5639782,51.700134,213.13123,24.965141,-0.043049566,0.50742805,-5.89E-06,30.073938,8.138962746,0.257906999,11,320,-0.5,0.866025404,-0.699458327,0.714673386,0.052439552
17-11-2023,0.23960705,0.001254602,14.680003,0.000476301,0.7122402,30.62213,211.46613,28.803804,0.27514175,-0.057592865,-1.43E-06,32.184574,8.105216026,0.214794434,11,321,-0.5,0.866025404,-0.687052767,0.726607525,0.066645332
18-11-2023,0.1864934,0.001100765,12.298223,0.000221113,0.7525158,22.906878,211.24419,28.447226,-0.18673511,0.562859,3.28E-07,33.53463,8.086389542,0.171002234,11,322,-0.5,0.866025404,-0.674443619,0.738326354,0.060290381
19-11-2023,0.19499026,0.001227238,15.153887,0.000306577,0.7197819,30.93846,211.8805,29.099293,-0.34111765,0.30392566,3.68E-07,34.079,8.076333046,0.178138035,11,323,-0.5,0.866025404,-0.661634618,0.749826401,0.047618665
20-11-2023,0.21697369,0.001227107,18.000496,0.000496069,0.6717663,38.911293,212.30554,29.794968,-0.017832821,0.22959286,7.24E-06,34.479923,8.06961441,0.196367195,11,324,-0.5,0.866025404,-0.648629561,0.761104259,0.043858875
21-11-2023,0.22187553,0.000920765,18.519125,0.000475261,0.6527767,39.391506,212.4672,30.031055,-0.10379018,0.3985768,-9.57E-07,33.58901,8.088764191,0.200386998,11,325,-0.5,0.866025404,-0.635432301,0.772156584,0.045406424
22-11-2023,0.21393411,0.000876213,18.4805,0.000406308,0.76468086,39.529274,212.91711,30.268253,-0.2533716,0.038971025,-6.72E-06,33.58269,8.089705467,0.193866416,11,326,-0.5,0.866025404,-0.622046748,0.782980104,0.043858968
23-11-2023,0.20683098,0.001011665,19.070328,0.000410826,0.21063232,39.582226,213.55441,29.359991,-0.15108609,-0.14387651,3.48E-06,33.987885,8.078824997,0.187997899,11,327,-0.5,0.866025404,-0.60847687,0.793571609,0.046213102
24-11-2023,0.19727074,0.001032029,19.252317,0.000394736,-0.1302433,38.75712,214.0499,29.156454,-0.03618456,-0.13165958,4.03E-06,33.544285,8.083000183,0.180044583,11,328,-0.5,0.866025404,-0.594726687,0.803927962,0.057111189
25-11-2023,0.1860327,0.000988952,18.90763,0.000363044,0.011159897,37.673313,214.38254,29.4381,-0.15270713,0.026970474,1.92E-06,32.945854,8.092015266,0.170613872,11,329,-0.5,0.866025404,-0.580800273,0.814046094,0.058305569
